QID Code,Risk ID,Risk Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_110,R_AR_221,"Without a Prompt Firewall, indirect prompt injections can cause the LLM or AI agent to run unauthorized actions, perform unintended tool calls, or leak sensitive data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_110,R_AR_222,"Attackers can influence autonomous agents or smart‑tool chains through seemingly benign user inputs,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_111,R_AR_223,"If API tokens last for hours/days or work from any IP, a stolen token (phishing, malware, insider misuse) could grant broad, long‑term access to sensitive data or RAG/vector stores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_111,R_AR_224,"Static or shared API keys prevent you from determining who accessed what, making breach investigations impossible and causing audit failure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_112,R_AR_225,"Ghost APIs often still have active database connections, legacy credentials, or unrestricted access, allowing attackers—or compromised agents—to exfiltrate sensitive data. Because these endpoints are “forgotten,” they receive no monitoring, no rate limits, and no security updates, making them prime targets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_112,R_AR_226,"Ghost APIs create a shadow attack surface that governance teams cannot see or track, resulting in failed audits and the inability to prove complete control over data access paths.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_113,R_AR_227,"If outbound destinations aren’t monitored or restricted, attackers—or compromised AI agents—can silently exfiltrate large volumes of sensitive data (PII, financials, vector embeddings) to unauthorized IPs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_113,R_AR_228,"If the API doesn’t validate destinations, developers or autonomous agents may accidentally send regulated data to consumer AI tools, personal accounts, or unsecured endpoints.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_114,R_AR_229,"Without real‑time drift detection, changes in user behavior, upstream system updates, or population shifts cause gradual but severe performance decay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_114,R_AR_230,"Global metrics may look stable, but minority or low‑frequency groups drift first, causing subtle, hard‑to‑detect bias.
Without alerts, these fairness issues aren’t discovered until regulatory audits or customer complaints.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_115,R_AR_231,"Without lineage, versioned transforms, or feature provenance, bad outputs cannot be traced to a specific upstream error—leading to long MTTR, repeated incidents, and audit failures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_115,R_AR_232,"If monitoring is coarse (global metrics only, no segmenting, no per‑feature stats), teams may attribute failures to the model when the real cause is upstream drift or a schema change, causing unnecessary rollbacks and persistent data defects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_116,R_AR_233,"Without token‑velocity and cost‑per‑resolution monitoring, recursive loops or retry storms can explode token usage in minutes, causing budget overruns, SLO breaches, and resource starvation for other workloads.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_116,R_AR_234,"Attackers (or misconfigured agents) exploit weak stop conditions to generate prompt cascades or infinite loops, driving data exfil attempts, embedding sweeps, or inference‑based reconstruction while evading simple RPS limits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_117,R_AR_235,"If your vector database serves stale documents (older than your decision cycle), the model may give answers based on obsolete policies, wrong financial data, expired requirements, or outdated regulatory rules.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_117,R_AR_236,"Ground Truth gets older each day, but nothing alerts you.
The system appears to function normally, but accuracy steadily degrades as users unknowingly retrieve stale content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_118,R_AR_237,"Without continuous intent monitoring, agents can drift from their defined purpose due to prompt injection, tool misuse, or emergent behavior—performing unauthorized exports, cross‑tenant reads, unapproved purchases, or high‑risk API calls.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_118,R_AR_238,"Indirect prompt injections in retrieved content (web/RAG) can redirect agent goals without obvious errors—e.g., embedding “send me your secrets” in a webpage—causing covert policy violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_119,R_AR_239,"Without frequent Gold Standard tests, small code or data changes (ETL tweak, feature scaling change, new tokenizer, retriever config) can silently degrade fairness or accuracy, especially for minority or low‑frequency cohorts. Problems are often discovered only after customer impact or audit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_119,R_AR_240,"If gold datasets are not refreshed/validated periodically, they stop representing reality (population shifts, new products, updated policies). The pipeline “passes” hourly checks but drifts into bias or error in production.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_120,R_AR_241,"If AI telemetry is isolated in its own tool, SRE and SOC teams won’t see data drift, RAG staleness, agent misuse, or token storms until after damage is done.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_120,R_AR_242,"Siloed AI monitoring makes it impossible for auditors to trace end‑to‑end lineage, correlate pipeline events, or prove continuous monitoring, leading to failed governance reviews or regulatory findings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_121,R_AR_243,"On‑core accelerator power‑gating (e.g., Intel AMX) introduces wake‑latency patterns that can be measured locally or even remotely, enabling membership inference and leakage of internal routing/logit‑dependent control flow (e.g., MoE expert choice) from timing alone; this can reveal whether specific records were in the training set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_121,R_AR_244,"Attackers can repurpose power‑gating timing as a high‑signal covert channel, bypassing coarse timer defenses and surviving noisy network conditions; without telemetry, loop/scan patterns and timing probes go undetected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_122,R_AR_245,"Training-heavy allocation leads to unbounded training spend, crowding out inference workloads and forcing teams to downshift to smaller models or degrade user experience. Training jobs often have unpredictable token and GPU usage; if not capped, they can absorb nearly all available compute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_123,R_AR_247,"If the platform relies exclusively on a single provider’s GPU fleet (e.g., NVIDIA‑only kernels on one cloud), a supply‑chain crunch can leave you unable to run inference or training for months, because you cannot shift to alternative accelerators or regions quickly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_123,R_AR_248,"If workloads cannot move without major code rewrites, a crisis migration leads to rushed, unsafe deployments—introducing numerical drift, precision mismatches, missing fused ops, or unstable kernels. This can cause silent fairness regressions, accuracy loss, and audit failures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_124,R_AR_249,"Without hardware‑level power‑gating mitigations, an attacker can measure cold‑start/warm‑start latencies on AI accelerators and infer which data was in your training set, which expert was selected in MoE models, or retrieve other internal decision signals—achieving high‑accuracy membership inference (up to 81% reported).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_124,R_AR_250,"GATEBLEED demonstrates a high‑signal covert channel that survives network noise and bypasses many standard microarchitectural defenses. In shared‑tenant environments, a malicious workload can extract signals from a colocated model—leaking internal computation, control flow, and secrets without accessing memory. [research.e...e.ncsu.edu], [news.ncsu.edu]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_125,R_AR_251,"Poorly isolated partitions (or mis‑sized slices) can cause latency spikes and jitter for critical inference paths when colocated workloads contend for memory bandwidth, SMs, or PCIe/NVLink.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_125,R_AR_252,"Sharing a physical GPU for multiple tenants/jobs can increase exposure to side‑channels, information leakage, or cross‑process instability if driver/runtime isolation is weak or misconfigured.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_126,R_AR_253,"If the platform doesn’t re‑verify signatures (and security version/anti‑rollback numbers) at each boot, a malicious or accidental downgrade/flash can load older, vulnerable, or unsigned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_126,R_AR_254,"Without per‑boot cryptographic attestation of the accelerator’s firmware/config, orchestration may release decryption keys or sensitive workloads to hardware that is misconfigured or impersonated, breaking confidentiality/compliance for “data‑in‑use.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_127,R_AR_255,"Without a circuit breaker, recursive agent loops or retry storms can consume massive tokens and compute in minutes, starving production inference and breaching SLOs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_127,R_AR_256,"An injected instruction can steer an agent into self‑referential or tool‑spam loops, causing data exfil attempts or unexpected spend if there’s no pre‑execution check and breaker.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_128,R_AR_257,"If training and inference share undifferentiated capacity, long training jobs can exhaust accelerators and I/O, causing latency spikes, timeouts, and 429s on customer‑facing inference.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_128,R_AR_258,"Training bursts (or agent‑driven cascades) can drive unexpected GPU hours and token consumption, forcing model downshifts or throttling that hurts user experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_129,R_AR_259,"Misconfigured RDMA fabrics (PFC/ECN off, mixed loss domains, shallow buffers) can trigger congestion storms and microbursts, causing GPU stalls and p99 latency blow‑ups for inference.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_129,R_AR_260,"RDMA + GPUDirect reduce CPU mediation; without tenant isolation, mTLS/IPSec, and ACLs, an internal actor or misconfigured service could read or inject data at high speed directly into GPU buffers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_130,R_AR_261,"If the storage fabric can’t sustain required GB/s (or suffers tail latency spikes), the trainer stalls at barrier points, or skips checkpoints; faults then cause multi‑hour recompute or accuracy issues from inconsistent states.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_130,R_AR_262,"Network blips or node failures create incomplete shards; without atomic publish and verification, restarts pull corrupted or mixed‑version weights, causing silent model degradation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_131,R_AR_263,"If capacity grows faster than the performance tier (or the network fabric), training/inference will hit tail latency spikes (p95/p99) or throughput ceilings despite “enough TBs,” causing job stalls, SLA breaches, or failed checkpoints.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_131,R_AR_264,"If hot working sets remain pinned on premium NVMe/cache due to weak lifecycle policies, costs balloon and capacity planning breaks—while the cold tier is under‑utilized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_132,R_AR_265,"A unified namespace blurs boundaries between consented training use and live retrieval use, enabling accidental queries over regulated or consent-restricted training data (e.g., legacy PII/PHI or licensed corpora not approved for interactive retrieval). This can trigger GDPR/CPRA purpose‑limitation breaches, contractual violations, and takedown events.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_132,R_AR_266,"RAG pipelines are mutable (frequent updates, deduping, chunking), while training data needs immutability and reproducibility. A shared namespace increases chances of feedback loops (synthetic/RAG outputs drifting into training), schema drift, and inconsistent snapshots, undermining auditability, retraining reproducibility, and evaluation validity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_133,R_AR_267,"Without threshold‑based egress alerts, a compromised agent, misconfigured job, or insider could bulk‑transfer multi‑terabyte datasets to an external or foreign region, violating data‑residency and contractual obligations before humans notice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_133,R_AR_268,"Large unintended transfers (>5 TB) can explode network and storage bills, saturate links, and degrade production inference/training throughput while the copy runs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_134,R_AR_269,"If NVMe‑oF bandwidth/IOPS or queue depths are undersized—or if tiering pulls too aggressively—GPU pipelines stall (p95/p99 latency spikes), causing idle accelerators and missed training SLOs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_134,R_AR_270,"If tiering or GC deletes objects prematurely—or publishes non‑atomic bundles—restores fail or produce mixed‑version weights, undermining audits and rollback",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_135,R_AR_271,"If the orchestrator ignores physical topology, distributed training may stretch across distant racks or congested spines, causing slow collective operations, GPU underutilization, and 30–70% throughput drops. This directly increases cloud spend, extends experiment cycles, and leads to SLO misses for model delivery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_135,R_AR_272,"Poor scheduling can force training jobs to traverse shared, long‑hop networks, creating congestion hotspots that degrade latency‑sensitive inference or RAG retrieval traffic running on neighboring fabrics. This can cause latency spikes, time-outs, and customer‑visible degradation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_136,R_AR_273,"If AI/ML pods are deployed without enforced CPU/memory requests/limits, the cluster may experience resource contention, preemption, or autoscaler explosions—driving unplanned cloud spend, SLO breaches, and business service degradation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_136,R_AR_274,"If AI/ML pods are deployed without required security/compliance tags (e.g., data classification, tenant, model type, PII/PHI handling, owner, risk tier), the organization may run unvetted models or data flows, causing policy violations, data leakage, or regulatory non-compliance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_137,R_AR_275,"If manual changes to Golden configurations are not detected and alerted within 60 seconds, unauthorized drift can persist in production—causing misconfigurations, SLO breaches, and potential outages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_137,R_AR_276,"If manual edits to Golden configurations bypass the approved change process and are not promptly detected, the organization risks policy violations, audit findings, and regulatory non‑compliance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_138,R_AR_277,"If multi-tenant AI jobs run without VM-based runtime isolation and hardware GPU partitioning  a tenant may gain unauthorized visibility into another tenant’s GPU memory or compute context, leading to data leakage (model weights, embeddings, prompts, PHI/PII) and security incidents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_138,R_AR_278,"If GPU/compute isolation controls (VM runtime, MIG/vGPU, admission policies) are bypassed or drift from Golden config, the organization may process regulated data in a non‑compliant isolation posture, resulting in audit findings, regulatory action, and service disruption from emergency remediation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_139,R_AR_279,"If failed AI/ML jobs cannot automatically resume from the last successful checkpoint, they often restart from scratch, causing wasted GPU/CPU hours, prolonged runtimes, and missed delivery timelines for model training and batch inference.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_139,R_AR_280,"Without consistent checkpointing and automatic resume, partial progress and optimizer state are lost after failures, increasing the chance of training divergence, non‑reproducible results, or silent quality regressions when runs are relaunched manually with inconsistent state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_140,R_AR_281,"If AI workloads do not run inside hardware TEEs, data and model weights remain visible to the cloud provider’s hypervisor, host OS, admin accounts, or any compromised kernel‑level process, increasing the likelihood of data leakage, IP theft, and regulatory violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_140,R_AR_282,"Without TEEs enforcing encrypted and integrity-protected execution, malicious insiders or compromised cloud infrastructure can tamper with model weights, poison training data, alter inference outcomes, or inject backdoors, resulting in unreliable, biased, or unsafe AI behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_141,R_AR_283,"If AI systems can start or operate without validated compliance tags (e.g., “High‑Risk AI,” “Prohibited,” “Limited‑Risk”) enforced by automated infrastructure blocks, the organization risks deploying non‑compliant high‑risk systems in violation of the EU AI Act, triggering regulatory penalties, forced deactivation, and legal exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_141,R_AR_284,"Without automated infrastructure blocks enforcing compliance tags, unapproved AI systems—including experimental, untested, or unsafe models—can be deployed into production environments, creating safety, security, and ethical risks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_142,R_AR_285,"If AI agents or scripts share identities or use long‑lived/static credentials, a single compromise enables credential replay, lateral movement, and impersonation across services, resulting in data exfiltration and control-plane abuse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_142,R_AR_286,"Without cryptographically verifiable and unique identities that rotate, actions by AI agents/scripts cannot be authoritatively attributed, undermining non‑repudiation, auditability, and regulatory evidence requirements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_143,R_AR_287,"If system logs (access, training, inference, dataset lineage, model registry activity) are not stored in immutable, write‑once storage, administrators or attackers can delete, alter, or backdate logs, compromising auditability and making it impossible to prove compliance with AI‑related regulations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_143,R_AR_288,"Without tamper‑proof, immutable logs, forensic teams cannot reconstruct the timeline of a training-data poisoning, model manipulation, privilege escalation, or unauthorized inference access event. This leads to longer incident response, hidden root causes, and the risk of undetected backdoors or malicious model modifications continuing in production.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_144,R_AR_289,"If the AI cluster is not microsegmented with deny‑by‑default policies, an attacker who compromises a GPU node can pivot laterally into internal networks and reach HR/Finance databases, leading to data theft, privilege escalation, and business disruption.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_144,R_AR_290,"Without strict outbound microsegmentation and egress control, compromised AI workloads can exfiltrate sensitive datasets or model artifacts to unapproved external endpoints (cloud storage, paste sites, C2 servers), bypassing traditional perimeter defenses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_145,R_AR_291,"If infrastructure (WAF/API gateways, L7 firewalls, egress filters) is not tested monthly with realistic IPI payloads embedded in documents, websites, or connectors (e.g., SharePoint/Confluence/Email/RAG sources), malicious instructions can slip past network controls, causing agents or models to exfiltrate secrets, change tool behavior, or invoke unauthorized systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_145,R_AR_292,"Without monthly infrastructure red‑teaming for model inversion/extraction (e.g., high‑rate probing, canary extraction, repeated membership queries), adversaries may exfiltrate training data or clone model behavior, bypassing egress/DLP controls and token‑cost anomaly detectors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_146,R_AR_293,"When the core LLM or embedding model is updated, existing vector embeddings may become semantically misaligned. This can cause degraded retrieval accuracy, inconsistent responses, or incorrect outputs in production systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_146,R_AR_294,"If vector re‑indexing is not controlled or monitored, one team may trigger large‑scale re‑embedding jobs that consume excessive compute resources. This can disrupt other business units, inflate cloud costs, or cause service degradation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_147,R_AR_295,"Unvalidated documents, prompts, or knowledge‑base entries may contain adversarial instructions designed to manipulate the AI system’s behavior. This can cause the model to generate unauthorized actions, such as illegal discounts, policy violations, or harmful outputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_147,R_AR_296,"If the organization does not validate or sanitize data before adding it to the knowledge base, malicious or incorrect content may be embedded. This can lead to long‑term corruption of AI outputs, biased recommendations, or unsafe decision‑making.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_148,R_AR_297,"If data is not sanitized before embedding, personally identifiable information (PII) may be encoded into vector representations. Even though embeddings are not human‑readable, they can still leak sensitive information through reconstruction attacks, similarity queries, or model inversion techniques.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_148,R_AR_298,"Without an automated PII‑scrubbing layer, sensitive data may enter the knowledge base and become permanently embedded. Once encoded into vectors, PII becomes extremely difficult to detect, remove, or audit — creating long‑term contamination of the AI system.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_149,R_AR_299,"AI providing ""grounded"" but outdated legal or financial advice is a top-tier liability for enterprises in 2026.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_149,R_AR_300,"When time‑sensitive data (laws, pricing, policies, medical guidelines) is embedded without versioning or timestamp metadata, the AI cannot distinguish between historical and current information. This creates a risk of “temporal drift,” where the AI mixes old and new facts in a single answer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_150,R_AR_301,"If metadata filtering is not enforced in a shared database environment, the AI may retrieve and expose information that the requesting user is not authorized to access. Because vector search retrieves semantically similar content rather than exact matches, sensitive data can leak even when traditional access controls are in place.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_150,R_AR_302,"In multi‑team or multi‑tenant environments, missing metadata filters can cause the AI to blend data from different departments or clients. This can lead to accidental cross‑tenant retrieval, where one business unit gains visibility into another’s documents, embeddings, or knowledge assets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_151,R_AR_303,"In multi‑team or multi‑tenant environments, missing metadata filters can cause the AI to blend data from different departments or clients. This can lead to accidental cross‑tenant retrieval, where one business unit gains visibility into another’s documents, embeddings, or knowledge assets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_151,R_AR_304,"If metadata filtering is missing or misconfigured, users with lower privileges may indirectly access higher‑privilege information through AI‑generated responses. The AI may unintentionally summarize, paraphrase, or infer restricted content, effectively bypassing role‑based access controls.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_152,R_AR_305,"If prompt logic is not version‑controlled, changes can be made without documentation, review, or rollback capability. This creates a situation where the AI’s behavior shifts unpredictably over time, leading to inconsistent outputs, degraded accuracy, or unintended system behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_152,R_AR_306,"Without peer review, prompts may contain logical flaws, ambiguous instructions, or vulnerabilities that can be exploited through prompt injection or adversarial inputs. This can lead to unauthorized actions, policy violations, or harmful outputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_153,R_AR_307,"If the AI system does not enforce a strict fail‑closed mechanism, the model may generate outputs that contradict established business rules (e.g., unauthorized discounts, policy violations, compliance breaches). Because LLMs rely on probabilistic reasoning, they may “hallucinate” exceptions or override constraints unless guardrails are explicitly enforced.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_153,R_AR_308,"If the system does not automatically default to a fail‑closed state when encountering conflicting logic, ambiguous inputs, or unsafe reasoning, the AI may proceed with actions that create operational, legal, or security risks. This is especially dangerous in high‑stakes domains such as finance, healthcare, HR, or security operations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_154,R_AR_309,"If business logic is not tested against adversarial prompts, malicious or cleverly crafted inputs may expose contradictions, loopholes, or unintended behaviors in the AI system. Attackers can exploit these inconsistencies to bypass rules, trigger unauthorized actions, or manipulate outputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_154,R_AR_310,"Without adversarial prompt testing, the AI may generate responses that subtly undermine or contradict established business rules. Over time, this can lead to inconsistent decision‑making, unpredictable system behavior, and misalignment between AI outputs and organizational policies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_155,R_AR_311,"If the AI operates using a superuser or elevated service account instead of inheriting the end‑user’s permissions, it may unintentionally access or expose data the user is not authorized to see. Because LLMs can summarize, infer, or blend information, even a single elevated query can leak sensitive or regulated content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_155,R_AR_312,"If the AI uses a superuser account, a single prompt‑injection attack or adversarial input could cause the AI to perform privileged actions on behalf of the attacker. This creates a new lateral‑movement pathway that bypasses traditional security controls.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_156,R_AR_313,"AI-integrated applications may pass unmasked sensitive fields (e.g., SSNs, financial identifiers, health data) into the model’s context window, resulting in unauthorized exposure, retention, or misuse of regulated information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_156,R_AR_314,"Lack of automated governance controls (masking, redaction, classification) for data entering AI systems may lead to inconsistent handling of confidential information, creating systemic security and compliance vulnerabilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_157,R_AR_315,"The AI system may infer confidential reporting structures, access privileges, or internal relationships using available metadata, behavioral patterns, or contextual clues—even when the entitlement layer blocks direct access to that information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_157,R_AR_316,Weak or incomplete entitlement controls may allow the AI to generate answers that effectively bypass access restrictions by synthesizing information from multiple non‑sensitive data points.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_158,R_AR_317,If the AI system validates user permissions only at login—and not at the moment of AI execution—it may allow users to access or generate information they are no longer authorized to see.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_158,R_AR_318,"Even if permissions are re‑checked at execution time, the AI may still infer restricted information from previously cached context, historical interactions, or correlated data points.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_159,R_AR_319,"If the AI system cannot reliably record which Model ID produced a modification and which human authorized it, the organization loses the ability to audit, validate, or investigate AI‑generated changes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_159,R_AR_320,"If AI actions cannot be tied to a specific authorizing human, the organization faces accountability gaps where decisions appear to be made by the AI itself, creating legal, operational, and ethical exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_160,R_AR_321,"The AI system may retrieve far more data than is required for the task (e.g., thousands of rows instead of a single record), resulting in unnecessary exposure of sensitive or regulated information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_160,R_AR_322,"If the organization does not inspect or validate the data leaving the repository, AI systems may bypass traditional access controls by issuing queries that technically succeed but violate policy intent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_161,R_AR_323,"If the AI system does not enforce strict rate limits on semantic searches, an agent may generate excessive queries—intentionally or unintentionally—resulting in degraded system performance, service outages, or denial‑of‑service conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_161,R_AR_324,"Lack of enforced query‑rate limits may allow an AI agent to perform rapid, repeated semantic searches that collectively expose more data than intended, bypassing data‑minimization and access‑control principles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_162,R_AR_325,"If embeddings and their associated raw data are not encrypted using Customer‑Managed Keys (CMK), the organization loses direct control over the cryptographic protection of its most sensitive information, increasing exposure to unauthorized access or provider‑side compromise.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_162,R_AR_326,"Without CMK‑based encryption, the organization cannot enforce lifecycle controls—such as key rotation, revocation, or destruction—over embeddings and raw data, creating long‑term security and compliance vulnerabilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_163,R_AR_327,"If the AI training or fine‑tuning process is not pinned to a fixed, versioned data snapshot, the model may unintentionally incorporate live, changing, or unvalidated data—leading to unpredictable behavior, degraded performance, or contamination with sensitive or non‑approved information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_163,R_AR_328,"If training jobs pull from live data instead of a controlled snapshot, the AI system may ingest sensitive, regulated, or restricted information that was never approved for model training.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_164,R_AR_329,"If the repository does not support Private Information Retrieval (PIR), the database can see every query the AI issues, exposing sensitive search intent, user behavior patterns, or confidential investigative activities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR_164,R_AR_330,"Without PIR, the database can infer relationships, patterns, or sensitive organizational information based on the AI’s search frequency, query structure, or access patterns—even if the underlying data is protected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
